Alternative Names,Disease Names
Ebola,Ebola
Ebola virus,Ebola
Ebola disease,Ebola
Ebola virus disease,Ebola
Ebola hemorrhagic fever,Ebola
Zika,Zika
Tuberculosis,Tuberculosis
Tb,Tuberculosis
Dengue fever,Dengue fever
Dengue,Dengue fever
West Nile,West Nile virus
West Nile virus,West Nile virus
West Nile infection,West Nile virus
Yellow Fever,Yellow Fever
SARS,SARS
Severe acute respiratory syndrome,SARS
Malaria,Malaria
HIV,HIV
HIV/AIDS,HIV
AIDS,HIV
Immunodeficiency virus,HIV
Human immunodeficiency virus,HIV
Leprosy,Leprosy
