Name,Lat,Lng,Zoom
Kailahun,8.054,-10.657,10.04680261
Kenema,7.8632,-11.1957,9.60763886
Kono,8.705,-10.913,10.17708329
Bombali,9.302,-12.177,9.46527775
Kambia,9.222,-12.834,10.23958335
Koinadugu,9.33,-11.354,9.454861145
Port Loko,8.767,-12.767,9.847222216
Tonkolili,8.7389,-11.798,9.770833319
Pujehun,7.297,-11.551,10.25694451
Moyamba,8.03,-12.405,10.18055557
Bonthe,7.5,-12.476,10.26703565
Bo,8,-11.666,9.857638878
Western Area Rural,8.3333,-13.066,11.19791668
Western Area Urban,8.4833,-13.233,12.40972225
